,School,HTTP,From,To,Yrs,Overall_G,Overall_W,Overall_L,Overall_T,Overall_Pct,Bowls_G,Bowls_W,Bowls_L,Bowls_T,Bowls_Pct,SRS,SOS,AP,CC,Notes
46,Coast Guard,/cfb/schools/coast-guard/,1944,1945,2,17,6,10,1,.382,0,0,0,0,,-4.68,-1.10,0,0,
47,Coastal Carolina,/cfb/schools/coastal-carolina/,2017,2018,2,23,8,15,0,.348,,,,,,-12.54,-5.42,0,0,
48,Coe,/cfb/schools/coe/,1905,1905,1,9,1,7,1,.167,0,0,0,0,,-18.57,-4.35,0,0,
49,Colby,/cfb/schools/colby/,1904,1904,1,7,2,4,1,.357,0,0,0,0,,-8.02,-1.16,0,0,
50,Colgate,/cfb/schools/colgate/,1905,1981,76,670,363,266,41,.572,0,0,0,0,,-0.87,-4.01,0,0,
51,Colorado,/cfb/schools/colorado/,1902,2018,117,1146,652,480,35,.574,29,12,17,0,.414,4.16,1.31,19,19,
52,Colorado College,/cfb/schools/colorado-college/,1902,1945,39,296,169,109,18,.601,0,0,0,0,,-1.35,-4.95,1,2,
53,Colorado Mines,/cfb/schools/colorado-mines/,1902,1937,36,239,98,128,13,.437,0,0,0,0,,-6.63,-4.64,0,3,
54,Colorado State,/cfb/schools/colorado-state/,1902,2018,111,1094,515,555,31,.482,17,6,11,0,.375,-3.80,-2.97,3,15,record adjusted to 516-554-31 by NCAA
55,Columbia,/cfb/schools/columbia/,1870,1981,84,698,282,382,35,.428,1,1,0,0,1.000,-4.59,-1.70,2,1,
56,Connecticut,/cfb/schools/connecticut/,1979,2018,20,240,101,137,2,.425,6,3,3,0,.500,-5.40,-2.56,0,2,
57,Cornell,/cfb/schools/cornell/,1888,1981,93,837,488,317,32,.602,0,0,0,0,,2.17,-2.21,5,1,
58,Cornell College,/cfb/schools/cornell-college/,1903,1903,1,9,1,8,0,.111,0,0,0,0,,-14.48,-2.14,0,0,
59,Creighton,/cfb/schools/creighton/,1927,1942,16,139,61,70,8,.468,0,0,0,0,,-6.26,-5.08,0,1,
60,Cumberland,/cfb/schools/cumberland/,1903,1905,2,13,7,5,1,.577,0,0,0,0,,5.07,-0.79,0,0,
61,Dartmouth,/cfb/schools/dartmouth/,1881,1981,93,795,502,258,35,.653,0,0,0,0,,3.47,-2.84,5,12,
62,Davidson,/cfb/schools/davidson/,1902,1973,66,600,248,312,40,.447,1,0,1,0,.000,-7.33,-5.96,0,1,
63,Dayton,/cfb/schools/dayton/,1956,1976,21,216,78,130,8,.380,0,0,0,0,,-13.09,-8.45,0,0,
