,School,HTTP,From,To,Yrs,Overall_G,Overall_W,Overall_L,Overall_T,Overall_Pct,Bowls_G,Bowls_W,Bowls_L,Bowls_T,Bowls_Pct,SRS,SOS,AP,CC,Notes
186,Northwestern State,/cfb/schools/northwestern-state/,1976,1979,4,41,19,22,0,.463,0,0,0,0,,-12.36,-8.13,0,0,
187,Notre Dame,/cfb/schools/notre-dame/,1899,2018,112,1158,840,309,33,.725,36,18,18,0,.486,14.76,6.14,53,0,record adjusted to 819-309-33 by NCAA
188,Oglethorpe,/cfb/schools/oglethorpe/,1919,1925,7,69,31,35,3,.471,0,0,0,0,,-3.68,-1.98,0,0,
189,Ohio,/cfb/schools/ohio/,1962,2018,57,643,279,357,9,.440,11,3,8,0,.200,-8.92,-6.66,1,3,
190,Ohio State,/cfb/schools/ohio-state/,1904,2018,107,1091,800,258,36,.748,49,24,25,0,.479,14.94,5.90,57,37,record adjusted to 788-257-36 by NCAA
191,Oklahoma,/cfb/schools/oklahoma/,1903,2018,110,1168,841,304,47,.725,51,29,21,1,.590,12.32,3.53,57,45,
192,Oklahoma State,/cfb/schools/oklahoma-state/,1914,2018,105,1106,558,514,41,.520,28,18,10,0,.630,2.45,1.86,14,10,
193,Old Dominion,/cfb/schools/old-dominion/,2014,2018,5,60,30,30,0,.500,1,1,0,0,1.000,-9.02,-5.78,0,0,
194,Ole Miss,/cfb/schools/mississippi/,1902,2018,113,1155,641,504,34,.558,37,24,13,0,.649,4.80,2.74,25,6,record adjusted to 645-500-34 by NCAA
195,Oregon,/cfb/schools/oregon/,1916,2018,101,1061,577,455,34,.557,31,13,18,0,.433,5.38,3.35,16,11,record adjusted to 578-454-34 by NCAA
196,Oregon State,/cfb/schools/oregon-state/,1916,2018,101,1057,460,563,36,.451,15,9,6,0,.600,1.70,3.64,10,5,record adjusted to 462-561-36 by NCAA
197,Pacific,/cfb/schools/pacific/,1943,1995,47,496,209,280,9,.429,2,1,1,0,.500,-7.80,-5.74,1,0,record adjusted to 210-279-9 by NCAA
198,Penn State,/cfb/schools/penn-state/,1889,2018,125,1247,864,382,37,.688,48,29,17,2,.617,9.12,2.20,42,4,
199,Pennsylvania,/cfb/schools/pennsylvania/,1876,1981,105,1026,618,369,40,.621,1,0,1,0,.000,3.31,-0.44,7,1,
200,Phillips,/cfb/schools/phillips/,1920,1921,2,19,7,8,4,.474,0,0,0,0,,-6.92,-5.01,0,0,
201,Pitt,/cfb/schools/pittsburgh/,1905,2018,114,1179,675,479,37,.582,33,13,20,0,.394,7.32,4.25,19,2,record adjusted to 676-478-37 by NCAA
202,Portland,/cfb/schools/portland/,1946,1947,2,19,3,15,1,.184,0,0,0,0,,-21.01,-10.83,0,0,
203,Prairie View A&M,/cfb/schools/prairie-view-am/,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-19.35,-10.35,0,0,
204,Presbyterian,/cfb/schools/presbyterian/,1915,1945,16,127,58,63,6,.480,0,0,0,0,,-5.56,-4.99,0,0,
205,Princeton,/cfb/schools/princeton/,1869,1981,109,918,637,233,48,.720,0,0,0,0,,6.01,-1.32,4,5,
206,Purdue,/cfb/schools/purdue/,1892,2018,127,1210,602,562,48,.517,18,10,8,0,.529,5.68,4.54,17,8,record adjusted to 603-561-48 by NCAA
207,Quantico Marines,/cfb/schools/quantico-marines/,1965,1965,1,10,6,4,0,.600,0,0,0,0,,-6.22,-12.12,0,0,
208,Randolph Field,/cfb/schools/randolph-field/,1944,1944,1,12,12,0,0,1.000,0,0,0,0,,16.14,-5.11,1,0,
209,Regis (CO),/cfb/schools/regis-co/,1924,1930,3,25,9,16,0,.360,0,0,0,0,,-12.84,-8.99,0,0,
210,Rhodes,/cfb/schools/rhodes/,1939,1939,1,9,3,5,1,.389,0,0,0,0,,-5.39,-2.50,0,0,
211,Rice,/cfb/schools/rice/,1914,2018,105,1103,463,616,32,.431,12,7,5,0,.583,-0.24,2.60,8,8,record adjusted to 464-615-32 by NCAA
212,Richmond,/cfb/schools/richmond/,1909,1983,58,563,233,305,27,.436,2,1,1,0,.500,-8.46,-6.07,0,4,
213,Rutgers,/cfb/schools/rutgers/,1869,2018,104,977,478,477,22,.501,10,6,4,0,.600,-3.11,-2.97,4,1,record adjusted to 479-476-22 by NCAA
214,Saint Louis,/cfb/schools/saint-louis/,1907,1949,18,173,82,78,13,.512,0,0,0,0,,-6.36,-6.99,0,0,
215,Saint Mary's (CA),/cfb/schools/saint-marys-ca/,1930,1950,20,179,101,70,11,.585,3,1,2,0,.333,2.63,0.03,1,0,
216,Saint Mary's (CA) Pre-Flight,/cfb/schools/saint-marys-ca-pre-flight/,1942,1944,3,26,13,11,2,.538,0,0,0,0,,2.43,-1.77,1,0,
217,Samford,/cfb/schools/samford/,1907,1924,11,95,27,57,11,.342,0,0,0,0,,-8.87,-2.41,0,0,
218,San Diego State,/cfb/schools/san-diego-state/,1969,2018,50,586,323,259,8,.554,12,5,7,0,.455,0.04,-1.80,2,9,record adjusted to 324-258-8 by NCAA
219,San Francisco,/cfb/schools/san-francisco/,1932,1951,18,163,77,76,10,.503,0,0,0,0,,-0.90,-2.32,1,0,
220,San Jose State,/cfb/schools/san-jose-state/,1950,2018,69,763,333,417,14,.445,8,5,3,0,.625,-5.73,-3.46,1,8,record adjusted to 334-416-14 by NCAA
221,Santa Clara,/cfb/schools/santa-clara/,1932,1952,18,160,98,54,11,.635,3,3,0,0,1.000,6.34,2.58,6,0,
222,Second Air Force,/cfb/schools/second-air-force/,1944,1944,1,15,10,4,1,.700,0,0,0,0,,12.44,-1.42,1,0,
223,Sewanee,/cfb/schools/sewanee/,1902,1941,40,339,161,155,23,.509,0,0,0,0,,0.46,0.18,0,0,
224,Simpson,/cfb/schools/simpson/,1902,1903,2,10,3,7,0,.300,0,0,0,0,,-5.53,1.87,0,0,
225,SMU,/cfb/schools/southern-methodist/,1916,2018,101,1075,491,541,54,.477,16,7,8,1,.500,1.99,2.74,11,10,record adjusted to 487-535-54 by NCAA
226,South Alabama,/cfb/schools/south-alabama/,2012,2018,7,86,31,55,0,.360,2,0,2,0,.000,-9.80,-4.58,0,0,
227,South Carolina,/cfb/schools/south-carolina/,1903,2018,111,1156,574,544,41,.513,22,9,13,0,.381,2.17,1.71,9,1,record adjusted to 575-543-41 by NCAA
228,South Florida,/cfb/schools/south-florida/,2000,2018,19,229,133,96,0,.581,9,6,3,0,.625,0.65,-2.27,2,0,
229,Southern,/cfb/schools/southern/,1977,1977,1,11,3,7,1,.318,0,0,0,0,,-15.39,-9.12,0,0,
230,Southern Illinois,/cfb/schools/southern-illinois/,1972,1985,14,156,68,85,3,.446,0,0,0,0,,-11.97,-9.54,0,0,
231,Southern Mississippi,/cfb/schools/southern-mississippi/,1963,2018,56,636,356,281,6,.558,21,11,10,0,.550,0.37,-1.76,3,5,record adjusted to 359-278-6 by NCAA
232,Southwestern (TX),/cfb/schools/southwestern-tx/,1910,1921,12,78,23,49,6,.333,0,0,0,0,,-7.04,-1.44,0,0,
233,Spring Hill,/cfb/schools/spring-hill/,1919,1922,3,23,11,11,1,.500,0,0,0,0,,-3.17,-2.11,0,0,
234,Springfield,/cfb/schools/springfield/,1891,1892,2,21,9,11,1,.452,0,0,0,0,,-0.79,0.43,0,0,
235,Stanford,/cfb/schools/stanford/,1918,2018,98,1037,576,442,34,.564,28,14,13,1,.537,6.96,4.95,20,14,
236,Stevens,/cfb/schools/stevens/,1872,1891,19,123,36,74,13,.346,0,0,0,0,,-4.24,-0.35,0,0,
237,Swarthmore,/cfb/schools/swarthmore/,1888,1912,8,65,40,24,1,.623,0,0,0,0,,3.32,-1.34,0,0,
238,Syracuse,/cfb/schools/syracuse/,1899,2018,117,1184,672,490,41,.576,25,15,9,1,.620,4.37,1.27,15,5,record adjusted to 661-490-41 by NCAA
239,Tampa,/cfb/schools/tampa/,1966,1974,7,72,43,30,0,.589,1,1,0,0,1.000,-3.53,-7.13,0,0,
240,Temple,/cfb/schools/temple/,1930,2018,71,750,321,405,26,.444,7,3,4,0,.333,-2.76,-0.84,1,1,record adjusted to 316-410-26 by NCAA
241,Tennessee,/cfb/schools/tennessee/,1902,2018,114,1197,813,371,51,.679,52,28,24,0,.538,10.12,3.54,44,13,record adjusted to 814-371-50 by NCAA
242,Tennessee Medical College,/cfb/schools/tennessee-medical-college/,1904,1904,1,6,2,4,0,.333,0,0,0,0,,-13.94,-2.60,0,0,
243,Tennessee State,/cfb/schools/tennessee-state/,1977,1977,1,10,8,1,1,.850,0,0,0,0,,3.58,-8.72,0,0,
244,Texas,/cfb/schools/texas/,1902,2018,117,1206,855,359,32,.699,54,28,24,2,.528,11.83,4.07,46,30,record adjusted to 856-359-31 by NCAA
245,Texas A&M,/cfb/schools/texas-am/,1903,2018,116,1204,717,468,44,.601,39,17,22,0,.447,7.83,3.24,26,18,
246,Texas Christian,/cfb/schools/texas-christian/,1903,2018,113,1190,628,527,50,.542,33,16,16,1,.484,2.70,1.72,20,17,record adjusted to 628-526-50 by NCAA
247,Texas Southern,/cfb/schools/texas-southern/,1977,1977,1,11,6,4,1,.591,0,0,0,0,,-5.98,-9.98,0,0,
248,Texas State,/cfb/schools/texas-state/,2012,2018,7,83,27,56,0,.325,0,0,0,0,,-13.04,-6.45,0,0,
249,Texas Tech,/cfb/schools/texas-tech/,1932,2018,87,960,536,423,24,.557,38,14,23,1,.392,4.06,1.94,11,11,
250,Texas-Arlington,/cfb/schools/texas-arlington/,1971,1981,11,120,49,71,0,.408,0,0,0,0,,-9.71,-6.19,0,1,
251,Toledo,/cfb/schools/toledo/,1962,2018,57,647,382,262,8,.592,17,10,7,0,.625,-4.45,-7.30,4,11,record adjusted to 384-260-8 by NCAA
252,Trinity (CT),/cfb/schools/trinity-ct/,1887,1901,15,126,50,62,14,.452,0,0,0,0,,-4.52,-2.66,0,0,
253,Troy,/cfb/schools/troy/,2001,2018,18,219,120,99,0,.548,7,4,3,0,.500,-4.04,-5.44,0,6,
254,Tufts,/cfb/schools/tufts/,1877,1905,17,178,70,103,5,.407,0,0,0,0,,-6.22,-2.65,0,0,
255,Tulane,/cfb/schools/tulane/,1902,2018,114,1152,500,624,35,.447,11,4,7,0,.364,0.25,1.89,7,4,record adjusted to 501-623-35 by NCAA
256,Tulsa,/cfb/schools/tulsa/,1917,2018,87,941,484,449,18,.518,21,10,11,0,.476,-1.47,-2.32,8,27,
257,UAB,/cfb/schools/alabama-birmingham/,1996,2018,21,245,103,142,0,.420,2,0,2,0,.000,-7.15,-4.33,0,0,
258,UCF,/cfb/schools/central-florida/,1996,2018,23,279,156,123,0,.559,9,4,5,0,.375,-1.05,-3.91,3,5,
259,UCLA,/cfb/schools/ucla/,1928,2018,91,991,583,383,31,.600,36,16,19,1,.471,9.30,5.83,32,16,record adjusted to 576-390-31 by NCAA
260,Union (NY),/cfb/schools/union-ny/,1894,1902,3,18,3,15,0,.167,0,0,0,0,,-10.45,3.85,0,0,
261,USC,/cfb/schools/southern-california/,1922,2018,97,1089,755,304,40,.705,54,35,19,0,.660,14.16,6.42,49,38,record adjusted to 741-304-40 by NCAA
262,Utah,/cfb/schools/utah/,1905,2018,112,1107,645,439,30,.592,21,17,4,0,.800,2.10,-1.94,8,24,
263,Utah State,/cfb/schools/utah-state/,1912,2018,104,1042,506,513,28,.497,11,4,7,0,.400,-4.81,-4.93,2,12,record adjusted to 508-511-28 by NCAA
264,UTEP,/cfb/schools/texas-el-paso/,1935,2018,81,877,325,542,18,.377,14,5,9,0,.357,-9.24,-4.97,0,2,
265,UTSA,/cfb/schools/texas-san-antonio/,2012,2018,7,83,37,46,0,.446,1,0,1,0,.000,-8.61,-5.84,0,0,
266,Vanderbilt,/cfb/schools/vanderbilt/,1902,2018,115,1179,543,596,43,.478,8,4,3,1,.563,3.84,3.51,3,0,record adjusted to 544-595-43 by NCAA
267,Vermont,/cfb/schools/vermont/,1901,1905,5,48,21,22,5,.490,0,0,0,0,,-3.55,-1.61,0,0,
268,Villanova,/cfb/schools/villanova/,1905,1980,59,542,270,260,17,.509,5,2,2,1,.500,-2.26,-3.09,3,0,
269,Virginia,/cfb/schools/virginia/,1890,2018,115,1178,575,578,37,.499,19,7,12,0,.389,1.15,0.54,9,2,
270,Virginia Military Institute,/cfb/schools/virginia-military-institute/,1904,1981,70,684,306,344,34,.472,0,0,0,0,,-5.32,-4.07,1,7,
271,Virginia Tech,/cfb/schools/virginia-tech/,1902,2018,115,1191,706,455,44,.604,31,13,18,0,.433,3.21,-1.03,20,8,record adjusted to 707-454-44 by NCAA
272,Wabash,/cfb/schools/wabash/,1904,1905,2,17,8,9,0,.471,0,0,0,0,,3.10,0.32,0,0,
273,Wake Forest,/cfb/schools/wake-forest/,1908,2018,111,1126,445,655,31,.407,12,8,4,0,.636,-2.67,0.82,4,2,
274,Washburn,/cfb/schools/washburn/,1905,1940,7,68,29,38,1,.434,0,0,0,0,,-11.77,-8.80,0,0,
275,Washington,/cfb/schools/washington/,1916,2018,102,1052,627,420,32,.596,36,17,18,1,.500,8.13,4.43,24,18,record adjusted to 630-417-32 by NCAA
276,Washington & Jefferson,/cfb/schools/washington-jefferson/,1905,1934,30,287,196,71,21,.717,1,0,0,1,.500,4.76,-2.83,0,0,
277,Washington & Lee,/cfb/schools/washington-lee/,1907,1953,44,389,191,174,25,.522,1,0,1,0,.000,-0.76,-1.91,1,2,
278,Washington (MO),/cfb/schools/washington-mo/,1902,1942,40,331,147,165,19,.473,0,0,0,0,,-5.21,-4.30,0,3,
279,Washington State,/cfb/schools/washington-state/,1917,2018,99,1027,472,519,38,.477,13,6,7,0,.500,2.60,3.34,11,4,record adjusted to 474-517-38 by NCAA
280,Wesleyan (CT),/cfb/schools/wesleyan-ct/,1882,1905,24,217,92,118,7,.440,0,0,0,0,,0.37,3.72,0,0,
281,West Texas A&M,/cfb/schools/west-texas-am/,1941,1985,44,443,212,225,9,.485,4,4,0,0,1.000,-8.65,-8.69,0,4,
282,West Virginia,/cfb/schools/west-virginia/,1909,2018,106,1130,662,436,41,.599,36,15,21,0,.429,4.05,0.36,19,15,
283,West Virginia Wesleyan,/cfb/schools/west-virginia-wesleyan/,1913,1916,4,33,16,16,1,.500,0,0,0,0,,-1.55,-1.37,0,0,
284,Western Carolina,/cfb/schools/western-carolina/,1977,1981,5,55,25,28,2,.473,0,0,0,0,,-8.00,-8.33,0,0,
285,Western Kentucky,/cfb/schools/western-kentucky/,2007,2018,12,150,72,78,0,.480,5,3,2,0,.750,-5.79,-5.62,1,2,
286,Western Michigan,/cfb/schools/western-michigan/,1962,2018,57,635,330,299,7,.524,7,1,6,0,.143,-6.73,-7.59,1,3,record adjusted to 331-298-7 by NCAA
287,Western State,/cfb/schools/western-state/,1924,1937,14,95,19,76,0,.200,0,0,0,0,,-20.15,-8.96,0,0,
288,Whitman,/cfb/schools/whitman/,1923,1924,2,12,2,10,0,.167,0,0,0,0,,-13.95,1.72,0,0,
289,Wichita State,/cfb/schools/wichita-state/,1945,1986,42,430,167,254,12,.400,3,0,3,0,.000,-10.37,-6.40,0,5,record adjusted to 168-253-12 by NCAA
290,William & Mary,/cfb/schools/william-mary/,1922,1983,55,557,260,279,20,.483,3,1,2,0,.333,-4.63,-4.51,3,4,
291,Williams,/cfb/schools/williams/,1886,1906,21,211,107,90,14,.540,0,0,0,0,,1.15,0.03,0,0,
292,Wisconsin,/cfb/schools/wisconsin/,1892,2018,127,1235,699,489,52,.585,29,15,14,0,.500,8.18,4.76,25,14,record adjusted to 700-488-52 by NCAA
293,Wofford,/cfb/schools/wofford/,1914,1936,15,128,36,88,4,.297,0,0,0,0,,-13.04,-5.23,0,0,
294,WPI,/cfb/schools/wpi/,1888,1893,2,11,3,7,1,.318,0,0,0,0,,-12.11,-1.48,0,0,
295,Wyoming,/cfb/schools/wyoming/,1905,2018,107,1086,506,560,26,.475,15,7,8,0,.429,-4.63,-3.15,4,14,record adjusted to 507-559-26 by NCAA
296,Xavier,/cfb/schools/xavier/,1935,1973,16,160,70,86,4,.450,0,0,0,0,,-11.60,-8.18,0,0,
297,Yale,/cfb/schools/yale/,1872,1981,108,973,718,203,52,.765,0,0,0,0,,7.85,-1.11,4,11,
