,Season,Game,Date,Team,Loc,Opp,Result,Pass_cmp,Pass_att,Pass_pct,Pass_yds,Pass_TD,Rush_att,Rush_yds,Rush_avg,Rush_TD,TO_plays,TO_yds,TO_avg,FD_pass,FD_rush,FD_pen,FD_tot,Pen_num,Pen_yds,Turn_fum,Turn_int,Turn_tot
1030,2018,4,2018-09-22,Notre Dame,@,Wake Forest,W (56-27),16,31,51.6,139,0,61,259,4.2,3,92,398,4.3,9,15,3,27,3,23,0,1,1
1031,2018,5,2018-09-29,Notre Dame,,Stanford,W (38-17),15,27,55.6,174,1,24,55,2.3,1,51,229,4.5,7,1,2,10,7,50,0,1,1
1032,2018,6,2018-10-06,Notre Dame,@,Virginia Tech,W (45-23),31,52,59.6,309,2,33,132,4.0,0,85,441,5.2,18,6,1,25,6,41,1,1,2
1033,2018,7,2018-10-13,Notre Dame,,Pittsburgh,W (19-14),19,30,63.3,126,0,30,116,3.9,1,60,242,4.0,6,6,2,14,8,80,0,0,0
1034,2018,8,2018-10-27,Notre Dame,N,Navy,W (44-22),4,12,33.3,52,0,48,292,6.1,3,60,344,5.7,2,11,1,14,4,16,1,1,2
1035,2018,9,2018-11-03,Notre Dame,@,Northwestern,W (31-21),16,29,55.2,141,1,40,108,2.7,2,69,249,3.6,10,5,1,16,0,0,0,0,0
1036,2018,10,2018-11-10,Notre Dame,,Florida State,W (42-13),23,48,47.9,216,0,30,106,3.5,2,78,322,4.1,11,6,3,20,5,35,1,1,2
1037,2018,11,2018-11-17,Notre Dame,N,Syracuse,W (36-3),15,35,42.9,115,0,38,119,3.1,0,73,234,3.2,6,9,1,16,3,45,0,3,3
1038,2018,12,2018-11-24,Notre Dame,@,Southern California,W (24-17),37,51,72.5,349,1,24,94,3.9,1,75,443,5.9,16,7,1,24,8,71,2,0,2
1039,2018,,12 Games,Notre Dame,,,,249,444,56.1,2376,7,435,1602,3.7,15,879,3978,4.5,126,86,21,233,59,483,8,12,20
1040,2018,1,2018-09-01,Ohio,,Howard,W (38-32),27,53,50.9,484,3,39,161,4.1,1,92,645,7.0,14,11,1,26,8,71,2,2,4
1041,2018,2,2018-09-15,Ohio,N,Virginia,L (31-45),25,30,83.3,379,3,31,173,5.6,3,61,552,9.0,14,8,1,23,3,20,3,0,3
1042,2018,3,2018-09-22,Ohio,@,Cincinnati,L (30-34),19,31,61.3,274,2,34,150,4.4,3,65,424,6.5,12,10,2,24,14,150,0,1,1
1043,2018,4,2018-09-29,Ohio,,Massachusetts,W (58-42),30,43,69.8,410,5,22,41,1.9,0,65,451,6.9,19,3,1,23,8,77,0,1,1
1044,2018,5,2018-10-06,Ohio,@,Kent State,W (27-26),27,35,77.1,271,2,36,201,5.6,0,71,472,6.6,12,10,3,25,11,100,1,2,3
1045,2018,6,2018-10-13,Ohio,@,Northern Illinois,L (21-24),17,33,51.5,145,0,46,255,5.5,3,79,400,5.1,10,13,2,25,12,109,0,0,0
1046,2018,7,2018-10-20,Ohio,,Bowling Green State,W (49-14),19,24,79.2,214,2,26,100,3.8,0,50,314,6.3,9,4,0,13,7,78,1,1,2
1047,2018,8,2018-10-25,Ohio,,Ball State,W (52-14),16,32,50.0,162,1,23,80,3.5,1,55,242,4.4,5,6,0,11,6,54,2,1,3
1048,2018,9,2018-11-01,Ohio,@,Western Michigan,W (59-14),10,19,52.6,152,1,40,118,3.0,1,59,270,4.6,4,7,2,13,6,51,4,2,6
1049,2018,10,2018-11-07,Ohio,@,Miami (OH),L (28-30),20,32,62.5,199,1,34,160,4.7,3,66,359,5.4,11,8,0,19,6,45,0,0,0
1050,2018,11,2018-11-14,Ohio,,Buffalo,W (52-17),10,23,43.5,120,0,22,157,7.1,2,45,277,6.2,4,7,2,13,3,20,2,3,5
1051,2018,12,2018-11-23,Ohio,,Akron,W (49-28),24,41,58.5,356,4,21,32,1.5,0,62,388,6.3,16,3,4,23,9,81,0,1,1
1052,2018,,12 Games,Ohio,,,,244,396,61.6,3166,24,374,1628,4.4,17,770,4794,6.2,130,90,18,238,93,856,15,14,29
1053,2018,1,2018-09-01,Ohio State,,Oregon State,W (77-31),14,24,58.3,196,2,39,196,5.0,2,63,392,6.2,7,6,2,15,5,49,2,0,2
1054,2018,2,2018-09-08,Ohio State,,Rutgers,W (52-3),11,30,36.7,65,0,31,69,2.2,0,61,134,2.2,4,4,4,12,7,72,0,2,2
1055,2018,3,2018-09-15,Ohio State,N,Texas Christian,W (40-28),24,40,60.0,308,1,36,203,5.6,3,76,511,6.7,13,8,1,22,5,40,1,2,3
1056,2018,4,2018-09-22,Ohio State,,Tulane,W (49-6),10,16,62.5,156,0,41,107,2.6,1,57,263,4.6,8,5,1,14,6,55,0,0,0
1057,2018,5,2018-09-29,Ohio State,@,Penn State,W (27-26),16,32,50.0,286,2,44,206,4.7,1,76,492,6.5,9,9,4,22,7,64,1,0,1
1058,2018,6,2018-10-06,Ohio State,,Indiana,W (49-26),26,49,53.1,322,3,21,84,4.0,0,70,406,5.8,14,4,4,22,3,35,2,0,2
1059,2018,7,2018-10-13,Ohio State,,Minnesota,W (30-14),13,23,56.5,218,0,33,178,5.4,2,56,396,7.1,10,7,2,19,4,60,1,2,3
1060,2018,8,2018-10-20,Ohio State,@,Purdue,L (20-49),25,43,58.1,378,3,29,161,5.6,3,72,539,7.5,12,9,3,24,7,95,0,0,0
1061,2018,9,2018-11-03,Ohio State,,Nebraska,W (36-31),22,33,66.7,266,1,49,184,3.8,3,82,450,5.5,14,11,2,27,5,44,1,0,1
1062,2018,10,2018-11-10,Ohio State,@,Michigan State,W (26-6),18,48,37.5,220,0,18,54,3.0,0,66,274,4.2,9,3,0,12,7,46,2,1,3
1063,2018,11,2018-11-17,Ohio State,@,Maryland,W (52-51),7,14,50.0,196,1,47,340,7.2,4,61,536,8.8,5,12,2,19,9,88,1,0,1
1064,2018,12,2018-11-24,Ohio State,,Michigan,W (62-39),23,38,60.5,240,3,40,161,4.0,2,78,401,5.1,12,10,6,28,7,72,0,2,2
1065,2018,,12 Games,Ohio State,,,,209,390,53.6,2851,16,428,1943,4.5,21,818,4794,5.9,117,88,31,236,72,720,11,9,20
1066,2018,1,2018-09-01,Oklahoma,,Florida Atlantic,W (63-14),18,32,56.3,192,0,42,132,3.1,2,74,324,4.4,11,7,2,20,6,48,0,1,1
1067,2018,2,2018-09-08,Oklahoma,,UCLA,W (49-21),16,26,61.5,254,1,50,129,2.6,2,76,383,5.0,11,9,0,20,6,77,0,0,0
1068,2018,3,2018-09-15,Oklahoma,@,Iowa State,W (37-27),25,36,69.4,360,2,29,87,3.0,1,65,447,6.9,12,6,2,20,4,35,0,1,1
1069,2018,4,2018-09-22,Oklahoma,,Army,W (28-21),3,9,33.3,40,0,78,339,4.3,3,87,379,4.4,3,22,1,26,6,50,0,2,2
1070,2018,5,2018-09-29,Oklahoma,,Baylor,W (66-33),40,63,63.5,416,2,38,77,2.0,2,101,493,4.9,18,11,4,33,9,75,1,0,1
1071,2018,6,2018-10-06,Oklahoma,N,Texas,L (45-48),26,37,70.3,324,3,38,177,4.7,3,75,501,6.7,15,9,3,27,6,43,0,0,0
1072,2018,7,2018-10-20,Oklahoma,@,Texas Christian,W (52-27),10,25,40.0,163,2,30,112,3.7,0,55,275,5.0,6,5,1,12,2,10,0,1,1
1073,2018,8,2018-10-27,Oklahoma,,Kansas State,W (51-14),13,21,61.9,108,0,32,137,4.3,2,53,245,4.6,5,6,2,13,4,50,1,0,1
1074,2018,9,2018-11-03,Oklahoma,@,Texas Tech,W (51-46),30,44,68.2,366,4,27,107,4.0,2,71,473,6.7,15,4,4,23,7,69,0,0,0
1075,2018,10,2018-11-10,Oklahoma,,Oklahoma State,W (48-47),34,53,64.2,501,3,33,139,4.2,4,86,640,7.4,27,9,3,39,5,31,1,0,1
1076,2018,11,2018-11-17,Oklahoma,,Kansas,W (55-40),20,28,71.4,176,1,36,348,9.7,4,64,524,8.2,8,17,0,25,6,53,0,0,0
1077,2018,12,2018-11-23,Oklahoma,@,West Virginia,W (59-56),32,49,65.3,539,4,41,165,4.0,4,90,704,7.8,20,10,3,33,5,60,2,0,2
1078,2018,,12 Games,Oklahoma,,,,267,423,63.1,3439,22,474,1949,4.1,29,897,5388,6.0,151,115,25,291,66,601,5,5,10
1079,2018,1,2018-08-30,Oklahoma State,,Missouri State,W (58-17),11,28,39.3,150,2,37,110,3.0,0,65,260,4.0,8,4,1,13,7,69,2,0,2
1080,2018,2,2018-09-08,Oklahoma State,,South Alabama,W (55-13),17,34,50.0,136,1,37,78,2.1,1,71,214,3.0,5,5,5,15,12,85,0,1,1
1081,2018,3,2018-09-15,Oklahoma State,,Boise State,W (44-21),39,56,69.6,380,3,31,34,1.1,0,87,414,4.8,21,2,0,23,5,40,1,0,1
1082,2018,4,2018-09-22,Oklahoma State,,Texas Tech,L (17-41),35,46,76.1,397,2,46,224,4.9,3,92,621,6.8,20,11,4,35,3,20,0,2,2
1083,2018,5,2018-09-29,Oklahoma State,@,Kansas,W (48-28),24,32,75.0,247,3,32,121,3.8,1,64,368,5.8,11,5,2,18,4,43,1,0,1
1084,2018,6,2018-10-06,Oklahoma State,,Iowa State,L (42-48),19,25,76.0,325,4,38,140,3.7,2,63,465,7.4,11,7,3,21,5,36,1,1,2
1085,2018,7,2018-10-13,Oklahoma State,@,Kansas State,L (12-31),11,22,50.0,130,0,55,291,5.3,4,77,421,5.5,7,13,3,23,4,40,0,0,0
1086,2018,8,2018-10-27,Oklahoma State,,Texas,W (38-35),22,42,52.4,283,2,30,119,4.0,3,72,402,5.6,13,8,3,24,11,86,0,0,0
1087,2018,9,2018-11-03,Oklahoma State,@,Baylor,L (31-35),14,26,53.8,158,2,39,244,6.3,2,65,402,6.2,6,12,8,26,6,69,0,1,1
1088,2018,10,2018-11-10,Oklahoma State,@,Oklahoma,L (47-48),21,30,70.0,349,1,47,353,7.5,5,77,702,9.1,15,14,0,29,8,70,0,0,0
1089,2018,11,2018-11-17,Oklahoma State,,West Virginia,W (45-41),27,48,56.3,364,2,43,189,4.4,3,91,553,6.1,17,7,1,25,5,24,1,0,1
1090,2018,12,2018-11-24,Oklahoma State,@,Texas Christian,L (24-31),16,25,64.0,180,2,45,243,5.4,1,70,423,6.0,8,11,3,22,4,30,1,0,1
1091,2018,,12 Games,Oklahoma State,,,,256,414,61.8,3099,24,480,2146,4.5,25,894,5245,5.9,142,99,33,274,74,612,7,5,12
1092,2018,1,2018-09-01,Old Dominion,@,Liberty,L (10-52),26,37,70.3,353,4,38,238,6.3,3,75,591,7.9,14,9,6,29,6,58,1,0,1
