,Season,Game,Date,Team,Loc,Opp,Result,Pass_cmp,Pass_att,Pass_pct,Pass_yds,Pass_TD,Rush_att,Rush_yds,Rush_avg,Rush_TD,TO_plays,TO_yds,TO_avg,FD_pass,FD_rush,FD_pen,FD_tot,Pen_num,Pen_yds,Turn_fum,Turn_int,Turn_tot
871,2018,2,2018-09-08,Missouri,,Wyoming,W (40-13),33,45,73.3,398,4,46,203,4.4,1,91,601,6.6,23,10,0,33,8,79,1,0,1
872,2018,3,2018-09-15,Missouri,@,Purdue,W (40-37),26,43,60.5,375,3,46,233,5.1,1,89,608,6.8,14,14,3,31,4,27,0,1,1
873,2018,4,2018-09-22,Missouri,,Georgia,L (29-43),23,48,47.9,221,0,37,172,4.6,4,85,393,4.6,15,9,2,26,5,30,2,1,3
874,2018,5,2018-10-06,Missouri,@,South Carolina,L (35-37),17,36,47.2,204,0,46,286,6.2,3,82,490,6.0,9,10,4,23,10,83,0,2,2
875,2018,6,2018-10-13,Missouri,@,Alabama,L (10-39),13,26,50.0,142,1,35,70,2.0,0,61,212,3.5,6,5,2,13,5,53,1,2,3
876,2018,7,2018-10-20,Missouri,,Memphis,W (65-33),24,32,75.0,373,4,40,273,6.8,4,72,646,9.0,13,14,3,30,12,122,0,0,0
877,2018,8,2018-10-27,Missouri,,Kentucky,L (14-15),15,27,55.6,165,0,35,84,2.4,2,62,249,4.0,7,3,3,13,8,69,0,0,0
878,2018,9,2018-11-03,Missouri,@,Florida,W (38-17),24,32,75.0,250,3,42,221,5.3,2,74,471,6.4,12,10,0,22,11,84,0,0,0
879,2018,10,2018-11-10,Missouri,,Vanderbilt,W (33-28),22,33,66.7,253,2,49,253,5.2,2,82,506,6.2,12,17,1,30,2,15,0,2,2
880,2018,11,2018-11-17,Missouri,@,Tennessee,W (50-17),21,30,70.0,257,2,49,227,4.6,3,79,484,6.1,14,12,3,29,10,79,1,0,1
881,2018,12,2018-11-23,Missouri,,Arkansas,W (38-0),17,27,63.0,227,2,42,181,4.3,2,69,408,5.9,8,8,1,17,5,49,1,0,1
882,2018,,12 Games,Missouri,,,,258,413,62.5,3259,25,511,2367,4.6,26,924,5626,6.1,146,120,27,293,84,735,6,8,14
