2015,1,"Sep 5, 2015",,Sat,Old Dominion,38,@,Eastern Michigan,34,,
2015,1,"Sep 5, 2015",,Sat,(7) Oregon,61,,Eastern Washington,42,,
2015,1,"Sep 5, 2015",,Sat,Pittsburgh,45,,Youngstown State,37,,
2015,1,"Sep 5, 2015",,Sat,Portland State,24,@,Washington State,17,,
2015,1,"Sep 5, 2015",,Sat,Rice,56,,Wagner,16,,
2015,1,"Sep 5, 2015",,Sat,Rutgers,63,,Norfolk State,13,,
2015,1,"Sep 5, 2015",,Sat,San Diego State,37,,San Diego,3,,
2015,1,"Sep 5, 2015",,Sat,South Alabama,33,,Gardner-Webb,23,,
2015,1,"Sep 5, 2015",,Sat,South Dakota State,41,@,Kansas,38,,
2015,1,"Sep 5, 2015",,Sat,South Florida,51,,Florida A&M,3,,
2015,1,"Sep 5, 2015",,Sat,(8) Southern California,55,,Arkansas State,6,,
2015,1,"Sep 5, 2015",,Sat,Temple,27,,Penn State,10,,
2015,1,"Sep 5, 2015",,Sat,(25) Tennessee,59,,Bowling Green State,30,,LP Field - Nashville Tennessee
2015,1,"Sep 5, 2015",,Sat,Texas A&M,38,,(15) Arizona State,17,,NRG Stadium - Houston Texas
2015,1,"Sep 5, 2015",,Sat,Texas Tech,59,,Sam Houston State,45,,
2015,1,"Sep 5, 2015",,Sat,Tulsa,47,,Florida Atlantic,44,,
2015,1,"Sep 5, 2015",,Sat,(13) UCLA,34,,Virginia,16,,
2015,1,"Sep 5, 2015",,Sat,West Virginia,44,,Georgia Southern,0,,
2015,1,"Sep 6, 2015",,Sun,Marshall,41,,Purdue,31,,
2015,1,"Sep 7, 2015",,Mon,(1) Ohio State,42,@,Virginia Tech,24,,
2015,2,"Sep 10, 2015",,Thu,Western Kentucky,41,,Louisiana Tech,38,,
2015,2,"Sep 11, 2015",,Fri,Miami (FL),44,@,Florida Atlantic,20,,
2015,2,"Sep 11, 2015",,Fri,(24) Utah,24,,Utah State,14,,
2015,2,"Sep 12, 2015",,Sat,Air Force,37,,San Jose State,16,,
2015,2,"Sep 12, 2015",,Sat,(2) Alabama,37,,Middle Tennessee State,10,,
2015,2,"Sep 12, 2015",,Sat,(22) Arizona,44,@,Nevada,20,,
2015,2,"Sep 12, 2015",,Sat,Arizona State,35,,Cal Poly,21,,
2015,2,"Sep 12, 2015",,Sat,(6) Auburn,27,,Jacksonville State,20,,
2015,2,"Sep 12, 2015",,Sat,(4) Baylor,66,,Lamar,31,,
