,Conf,School,From,To,Yrs,Games,Wins,Losses,Ties,Pct,C_games,C_wins,C_losses,C_ties,C_pct
406,sun-belt,Coastal Carolina,2017,2018,2,24,8,16,0,.333,16,4,12,0,.250
407,sun-belt,Georgia State,2013,2018,6,73,19,54,0,.260,47,13,34,0,.277
408,sun-belt,Texas State,2013,2018,6,72,23,49,0,.319,48,12,36,0,.250
409,sun-belt,New Mexico State,2001,2017,8,96,35,61,0,.365,58,26,32,0,.448
410,sun-belt,Idaho,2001,2017,8,96,27,68,0,.284,58,20,38,0,.345
411,sun-belt,Western Kentucky,2009,2013,5,61,24,37,0,.393,39,17,22,0,.436
412,sun-belt,Middle Tennessee State,2001,2012,12,144,68,76,0,.472,88,50,38,0,.568
413,sun-belt,Florida Atlantic,2004,2012,9,107,44,65,0,.404,67,30,37,0,.448
414,sun-belt,North Texas,2001,2012,12,142,51,94,0,.352,88,42,46,0,.477
415,sun-belt,Florida International,2004,2012,9,107,35,72,0,.327,65,24,41,0,.369
416,sun-belt,Utah State,2003,2004,2,23,6,17,0,.261,13,5,8,0,.385
